26-04-04 16:44:17.911 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.digest.dertyu.DertyuApplicationTests], using SpringBootContextLoader 
26-04-04 16:44:17.927 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.digest.dertyu.DertyuApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}. 
26-04-04 16:44:17.929 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.digest.dertyu.DertyuApplicationTests]: DertyuApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
26-04-04 16:44:18.186 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.digest.dertyu.JournalApplication for test class com.digest.dertyu.DertyuApplicationTests 
26-04-04 16:44:18.397 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener] 
26-04-04 16:44:18.431 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5f7b97da, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@18b0930f, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@6b7906b3, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3a1dd365, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@395b56bb, org.springframework.test.context.support.DirtiesContextTestExecutionListener@256f8274, org.springframework.test.context.transaction.TransactionalTestExecutionListener@68044f4, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@52d239ba, org.springframework.test.context.event.EventPublishingTestExecutionListener@315f43d5, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@68fa0ba8, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6c5945a7, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2f05be7f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@640f11a1, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5c10f1c3, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@7ac2e39b] 
26-04-04 16:44:19.159 [main] INFO  c.d.dertyu.DertyuApplicationTests - Starting DertyuApplicationTests using Java 17.0.10 on LAPTOP-H6MCVL77 with PID 15604 (started by 91828 in C:\javaProject\java-springboot) 
26-04-04 16:44:19.161 [main] INFO  c.d.dertyu.DertyuApplicationTests - The following 1 profile is active: "dev" 
26-04-04 16:44:20.706 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
26-04-04 16:44:20.820 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 107 ms. Found 2 MongoDB repository interfaces. 
26-04-04 16:44:22.116 [cluster-ClusterId{value='69d0f28efd98f47df2e8939e', description='null'}-srv-cluster0.oz3xve9.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-tuqprkh-shard-00-01.oz3xve9.mongodb.net:27017 to client view of cluster 
26-04-04 16:44:22.166 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.10+11-LTS-240", "application": {"name": "Cluster0"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='rajat', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@5cf8676a]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.oz3xve9.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-7g8bn5-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null} 
26-04-04 16:44:22.197 [cluster-ClusterId{value='69d0f28efd98f47df2e8939e', description='null'}-srv-cluster0.oz3xve9.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-tuqprkh-shard-00-02.oz3xve9.mongodb.net:27017 to client view of cluster 
26-04-04 16:44:22.199 [cluster-ClusterId{value='69d0f28efd98f47df2e8939e', description='null'}-srv-cluster0.oz3xve9.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-tuqprkh-shard-00-00.oz3xve9.mongodb.net:27017 to client view of cluster 
26-04-04 16:44:22.940 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@7f3fc42f from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-tuqprkh-shard-00-01.oz3xve9.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-tuqprkh-shard-00-02.oz3xve9.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-tuqprkh-shard-00-00.oz3xve9.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out 
26-04-04 16:44:23.681 [cluster-ClusterId{value='69d0f28efd98f47df2e8939e', description='null'}-ac-tuqprkh-shard-00-02.oz3xve9.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:53449}] to ac-tuqprkh-shard-00-02.oz3xve9.mongodb.net:27017 
26-04-04 16:44:23.682 [cluster-ClusterId{value='69d0f28efd98f47df2e8939e', description='null'}-ac-tuqprkh-shard-00-02.oz3xve9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-tuqprkh-shard-00-02.oz3xve9.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=1009692600, setName='atlas-7g8bn5-shard-0', canonicalAddress=ac-tuqprkh-shard-00-02.oz3xve9.mongodb.net:27017, hosts=[ac-tuqprkh-shard-00-00.oz3xve9.mongodb.net:27017, ac-tuqprkh-shard-00-02.oz3xve9.mongodb.net:27017, ac-tuqprkh-shard-00-01.oz3xve9.mongodb.net:27017], passives=[], arbiters=[], primary='ac-tuqprkh-shard-00-02.oz3xve9.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000076, setVersion=50, topologyVersion=TopologyVersion{processId=69d0207439906ab7bd61c2b2, counter=6}, lastWriteDate=Sat Apr 04 16:44:23 IST 2026, lastUpdateTimeNanos=330752872673700} 
26-04-04 16:44:23.688 [cluster-ClusterId{value='69d0f28efd98f47df2e8939e', description='null'}-ac-tuqprkh-shard-00-02.oz3xve9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff0000000000000076 from replica set primary ac-tuqprkh-shard-00-02.oz3xve9.mongodb.net:27017 
26-04-04 16:44:23.688 [cluster-ClusterId{value='69d0f28efd98f47df2e8939e', description='null'}-ac-tuqprkh-shard-00-02.oz3xve9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 50 from replica set primary ac-tuqprkh-shard-00-02.oz3xve9.mongodb.net:27017 
