26-04-04 16:48:17.501 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.10+11-LTS-240", "application": {"name": "Cluster0"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='rajat', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@16a2ed51]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.oz3xve9.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-7g8bn5-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null} 
26-04-04 16:48:17.518 [cluster-ClusterId{value='69d0f379b93cf52f59315f53', description='null'}-srv-cluster0.oz3xve9.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-tuqprkh-shard-00-02.oz3xve9.mongodb.net:27017 to client view of cluster 
26-04-04 16:48:17.519 [cluster-ClusterId{value='69d0f379b93cf52f59315f53', description='null'}-srv-cluster0.oz3xve9.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-tuqprkh-shard-00-00.oz3xve9.mongodb.net:27017 to client view of cluster 
26-04-04 16:48:18.216 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@629e8212 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-tuqprkh-shard-00-01.oz3xve9.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-tuqprkh-shard-00-02.oz3xve9.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-tuqprkh-shard-00-00.oz3xve9.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out 
26-04-04 16:48:18.545 [cluster-ClusterId{value='69d0f379b93cf52f59315f53', description='null'}-ac-tuqprkh-shard-00-02.oz3xve9.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:53690}] to ac-tuqprkh-shard-00-02.oz3xve9.mongodb.net:27017 
26-04-04 16:48:18.545 [cluster-rtt-ClusterId{value='69d0f379b93cf52f59315f53', description='null'}-ac-tuqprkh-shard-00-02.oz3xve9.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:53690}] to ac-tuqprkh-shard-00-02.oz3xve9.mongodb.net:27017 
26-04-04 16:48:18.545 [cluster-rtt-ClusterId{value='69d0f379b93cf52f59315f53', description='null'}-ac-tuqprkh-shard-00-01.oz3xve9.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:42234}] to ac-tuqprkh-shard-00-01.oz3xve9.mongodb.net:27017 
26-04-04 16:48:18.545 [cluster-ClusterId{value='69d0f379b93cf52f59315f53', description='null'}-ac-tuqprkh-shard-00-00.oz3xve9.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:47469}] to ac-tuqprkh-shard-00-00.oz3xve9.mongodb.net:27017 
26-04-04 16:48:18.546 [cluster-ClusterId{value='69d0f379b93cf52f59315f53', description='null'}-ac-tuqprkh-shard-00-02.oz3xve9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-tuqprkh-shard-00-02.oz3xve9.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=594635000, setName='atlas-7g8bn5-shard-0', canonicalAddress=ac-tuqprkh-shard-00-02.oz3xve9.mongodb.net:27017, hosts=[ac-tuqprkh-shard-00-00.oz3xve9.mongodb.net:27017, ac-tuqprkh-shard-00-02.oz3xve9.mongodb.net:27017, ac-tuqprkh-shard-00-01.oz3xve9.mongodb.net:27017], passives=[], arbiters=[], primary='ac-tuqprkh-shard-00-02.oz3xve9.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000076, setVersion=50, topologyVersion=TopologyVersion{processId=69d0207439906ab7bd61c2b2, counter=6}, lastWriteDate=Sat Apr 04 16:48:18 IST 2026, lastUpdateTimeNanos=330987737858200} 
26-04-04 16:48:18.545 [cluster-rtt-ClusterId{value='69d0f379b93cf52f59315f53', description='null'}-ac-tuqprkh-shard-00-00.oz3xve9.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:47469}] to ac-tuqprkh-shard-00-00.oz3xve9.mongodb.net:27017 
